"replication","truth_id","truth_structure","alpha","k_deviation","quadrature_points","rpe_dev","integrated_squared_error","integrated_squared_deviation","basis_rank","centred_deviation_max_abs"
16,"cluster_a90","cluster",0.9,15,4001,0.00359496594172766,0.000129081663537272,9.98791857466855,15,1.46549439250521e-16
17,"coordinate_a50","coordinate",0.5,15,4001,0.00387315312527697,0.000129086862290719,8.60503636889214,15,5.35682609381638e-17
17,"coordinate_a90","coordinate",0.9,15,4001,0.00393758470441113,0.000129086077193493,8.32567750553677,15,3.78863607153335e-17
17,"cluster_a50","cluster",0.5,15,4001,0.00380552133711733,0.00012908483462454,8.9134719074039,15,1.20459198171829e-16
17,"cluster_a90","cluster",0.9,15,4001,0.00360526590835177,0.000129081933538836,9.93095144279298,15,1.24344978758018e-16
18,"coordinate_a50","coordinate",0.5,15,4001,0.00400543455417281,0.00012908556197527,8.04596964246214,15,4.10782519111308e-17
18,"coordinate_a90","coordinate",0.9,15,4001,0.00397668142359349,0.00012908604078892,8.16277225377455,15,4.17721413015215e-17
18,"cluster_a50","cluster",0.5,15,4001,0.00374117914089961,0.000129084074630848,9.22264850928786,15,1.22124532708767e-16
18,"cluster_a90","cluster",0.9,15,4001,0.00359409179761613,0.000129081781540098,9.99278676316977,15,1.26565424807268e-16
19,"coordinate_a50","coordinate",0.5,15,4001,0.00392181332896124,0.000129083736398144,8.3926225460315,15,5.50948175970234e-17
19,"coordinate_a90","coordinate",0.9,15,4001,0.00392813688861045,0.000129084902807208,8.36569880841946,15,4.21884749357559e-17
19,"cluster_a50","cluster",0.5,15,4001,0.0037488427238615,0.00012908200815564,9.1848331567193,15,1.02973185533983e-16
19,"cluster_a90","cluster",0.9,15,4001,0.00359544691372825,0.000129081368245056,9.98522369265606,15,1.50990331349021e-16
20,"coordinate_a50","coordinate",0.5,15,4001,0.0038560155641147,0.000129084721551508,8.68155030118186,15,5.41233724504764e-17
20,"coordinate_a90","coordinate",0.9,15,4001,0.0038884196405064,0.000129084570585704,8.53744813136163,15,4.88498130835069e-17
20,"cluster_a50","cluster",0.5,15,4001,0.00375168388435072,0.000129083669050002,9.17104502768337,15,1.06581410364015e-16
20,"cluster_a90","cluster",0.9,15,4001,0.00359594812196802,0.000129081700423929,9.98246606684888,15,1.50990331349021e-16
21,"coordinate_a50","coordinate",0.5,15,4001,0.00404588445902296,0.000129087777607849,7.88602540152112,15,7.105427357601e-17
21,"coordinate_a90","coordinate",0.9,15,4001,0.00398184017503652,0.000129086823333266,8.14168443050416,15,4.17027523624824e-17
21,"cluster_a50","cluster",0.5,15,4001,0.00370868051837866,0.000129081637853658,9.38481295754693,15,1.25385812843604e-16
21,"cluster_a90","cluster",0.9,15,4001,0.00358826663688382,0.00012908129418466,10.0252196528216,15,1.37667655053519e-16
22,"coordinate_a50","coordinate",0.5,15,4001,0.00396670556574998,0.000129084797169901,8.20380191527907,15,4.9960036108132e-17
22,"coordinate_a90","coordinate",0.9,15,4001,0.0039684731209858,0.000129085180731175,8.19651996212386,15,3.71924713249427e-17
22,"cluster_a50","cluster",0.5,15,4001,0.00375506752368036,0.000129082444987712,9.15443786124769,15,1.3988810110277e-16
22,"cluster_a90","cluster",0.9,15,4001,0.00359654309477246,0.000129081455611471,9.97914463356174,15,1.33226762955019e-16
23,"coordinate_a50","coordinate",0.5,15,4001,0.00394658898462488,0.000129083844554546,8.28758685525571,15,4.37150315946155e-17
23,"coordinate_a90","coordinate",0.9,15,4001,0.00396629291376711,0.000129084797199659,8.205509048391,15,3.52495810318487e-17
23,"cluster_a50","cluster",0.5,15,4001,0.003722844344072,0.000129081963577857,9.31356192745967,15,1.15463194561016e-16
23,"cluster_a90","cluster",0.9,15,4001,0.00359082051028526,0.0001290813593295,10.0109694468041,15,1.55431223447522e-16
24,"coordinate_a50","coordinate",0.5,15,4001,0.00396107102054209,0.000129084491202754,8.22713850662747,15,4.08006961549745e-17
24,"coordinate_a90","coordinate",0.9,15,4001,0.00395385196132929,0.000129085292678476,8.25725990439924,15,5.19029264012261e-17
24,"cluster_a50","cluster",0.5,15,4001,0.00373934862278532,0.00012908311799843,9.23161180461112,15,9.99200722162641e-17
24,"cluster_a90","cluster",0.9,15,4001,0.00359376679601751,0.000129081590213615,9.99457942223443,15,1.50990331349021e-16
25,"coordinate_a50","coordinate",0.5,15,4001,0.00387610934338996,0.000129084697169921,8.59177154484025,15,5.49560397189452e-17
