"replication","truth_id","truth_structure","alpha","snr_overall_sigma_0_2","snr_dev_sigma_0_2","snr_overall_sigma_0_5","snr_dev_sigma_0_5","overall_ratio","deviation_ratio","overall_ratio_pass","deviation_ratio_pass"
5,"coordinate_a90","coordinate",0.9,12.3299160112696,8.47116601126965,1.97278656180314,1.35538656180314,6.25,6.25,TRUE,TRUE
50,"cluster_a50","cluster",0.5,13.115725303555,9.25697530355497,2.0985160485688,1.4811160485688,6.25,6.25,TRUE,TRUE
50,"cluster_a90","cluster",0.9,13.8234367248195,9.96468672481947,2.21174987597111,1.59434987597111,6.25,6.25,TRUE,TRUE
50,"coordinate_a50","coordinate",0.5,12.1656203331603,8.30687033316034,1.94649925330566,1.32909925330566,6.25,6.25,TRUE,TRUE
50,"coordinate_a90","coordinate",0.9,12.0643025092632,8.2055525092632,1.93028840148211,1.31288840148211,6.25,6.25,TRUE,TRUE
6,"cluster_a50","cluster",0.5,13.1145671575785,9.25581715757851,2.09833074521256,1.48093074521256,6.25,6.25,TRUE,TRUE
6,"cluster_a90","cluster",0.9,13.8232050956242,9.96445509562418,2.21171281529987,1.59431281529987,6.25,6.25,TRUE,TRUE
6,"coordinate_a50","coordinate",0.5,12.1608742407825,8.30212424078252,1.9457398785252,1.3283398785252,6.25,6.25,TRUE,TRUE
6,"coordinate_a90","coordinate",0.9,12.1467287064685,8.28797870646851,1.94347659303496,1.32607659303496,6.25,6.25,TRUE,TRUE
7,"cluster_a50","cluster",0.5,13.0538033598907,9.19505335989069,2.08860853758251,1.47120853758251,6.25,6.25,TRUE,TRUE
7,"cluster_a90","cluster",0.9,13.8110523360866,9.95230233608661,2.20976837377386,1.59236837377386,6.25,6.25,TRUE,TRUE
7,"coordinate_a50","coordinate",0.5,11.4702394596563,7.61148945965634,1.83523831354501,1.21783831354501,6.25,6.25,TRUE,TRUE
7,"coordinate_a90","coordinate",0.9,11.89810422765,8.03935422764999,1.903696676424,1.286296676424,6.25,6.25,TRUE,TRUE
8,"cluster_a50","cluster",0.5,13.1403732668921,9.28162326689213,2.10245972270274,1.48505972270274,6.25,6.25,TRUE,TRUE
8,"cluster_a90","cluster",0.9,13.8283663174869,9.9696163174869,2.2125386107979,1.5951386107979,6.25,6.25,TRUE,TRUE
8,"coordinate_a50","coordinate",0.5,12.2010920070206,8.34234200702057,1.95217472112329,1.33477472112329,6.25,6.25,TRUE,TRUE
8,"coordinate_a90","coordinate",0.9,12.2283076024642,8.36955760246418,1.95652921639427,1.33912921639427,6.25,6.25,TRUE,TRUE
