"replication","truth_id","truth_structure","alpha","sigma","overall_signal_ms","deviation_signal_ms","overall_signal_rms","deviation_signal_rms","snr_overall","snr_dev"
15,"coordinate_a90","coordinate",0.9,0.2,0.48127576093622,0.32692576093622,0.693740413221127,0.571774221993454,12.0318940234055,8.17314402340549
15,"coordinate_a90","coordinate",0.9,0.5,0.48127576093622,0.32692576093622,0.693740413221127,0.571774221993454,1.92510304374488,1.30770304374488
15,"cluster_a50","cluster",0.5,0.2,0.531674142852708,0.377324142852708,0.729159888400828,0.614267159184591,13.2918535713177,9.4331035713177
15,"cluster_a50","cluster",0.5,0.5,0.531674142852708,0.377324142852708,0.729159888400828,0.614267159184591,2.12669657141083,1.50929657141083
15,"cluster_a90","cluster",0.9,0.2,0.554346495134881,0.399996495134881,0.744544488351691,0.632452761188439,13.858662378372,9.99991237837201
15,"cluster_a90","cluster",0.9,0.5,0.554346495134881,0.399996495134881,0.744544488351691,0.632452761188439,2.21738598053952,1.59998598053952
16,"coordinate_a50","coordinate",0.5,0.2,0.466476633460537,0.312126633460537,0.68299094683644,0.558682945381848,11.6619158365134,7.80316583651343
16,"coordinate_a50","coordinate",0.5,0.5,0.466476633460537,0.312126633460537,0.68299094683644,0.558682945381848,1.86590653384215,1.24850653384215
16,"coordinate_a90","coordinate",0.9,0.2,0.477099262372176,0.322749262372176,0.690723723620505,0.568110255471749,11.9274815593044,8.0687315593044
16,"coordinate_a90","coordinate",0.9,0.5,0.477099262372176,0.322749262372176,0.690723723620505,0.568110255471749,1.9083970494887,1.2909970494887
16,"cluster_a50","cluster",0.5,0.2,0.521323650503378,0.366973650503378,0.722027458275223,0.605783501346296,13.0330912625845,9.17434126258446
16,"cluster_a50","cluster",0.5,0.5,0.521323650503378,0.366973650503378,0.722027458275223,0.605783501346296,2.08529460201351,1.46789460201351
16,"cluster_a90","cluster",0.9,0.2,0.552276396665015,0.397926396665015,0.743153010264383,0.630814074561605,13.8069099166254,9.94815991662536
16,"cluster_a90","cluster",0.9,0.5,0.552276396665015,0.397926396665015,0.743153010264383,0.630814074561605,2.20910558666006,1.59170558666006
17,"coordinate_a50","coordinate",0.5,0.2,0.498067426032777,0.343717426032777,0.705738922004998,0.586274190147218,12.4516856508194,8.59293565081941
17,"coordinate_a50","coordinate",0.5,0.5,0.498067426032777,0.343717426032777,0.705738922004998,0.586274190147218,1.99226970413111,1.37486970413111
17,"coordinate_a90","coordinate",0.9,0.2,0.487116558724979,0.332766558724979,0.697937360172802,0.576859219155748,12.1779139681245,8.31916396812447
17,"coordinate_a90","coordinate",0.9,0.5,0.487116558724979,0.332766558724979,0.697937360172802,0.576859219155748,1.94846623489992,1.33106623489992
17,"cluster_a50","cluster",0.5,0.2,0.510158095436328,0.355808095436328,0.714253523222902,0.596496517539146,12.7539523859082,8.89520238590821
17,"cluster_a50","cluster",0.5,0.5,0.510158095436328,0.355808095436328,0.714253523222902,0.596496517539146,2.04063238174531,1.42323238174531
17,"cluster_a90","cluster",0.9,0.2,0.550043285651605,0.395693285651605,0.74164903131576,0.629041561148073,13.7510821412901,9.89233214129012
17,"cluster_a90","cluster",0.9,0.5,0.550043285651605,0.395693285651605,0.74164903131576,0.629041561148073,2.20017314260642,1.58277314260642
18,"coordinate_a50","coordinate",0.5,0.2,0.476152010961143,0.321802010961143,0.690037688073009,0.567275956621769,11.9038002740286,8.04505027402857
18,"coordinate_a50","coordinate",0.5,0.5,0.476152010961143,0.321802010961143,0.690037688073009,0.567275956621769,1.90460804384457,1.28720804384457
18,"coordinate_a90","coordinate",0.9,0.2,0.480730673452818,0.326380673452818,0.693347440647773,0.571297359921099,12.0182668363204,8.15951683632044
18,"coordinate_a90","coordinate",0.9,0.5,0.480730673452818,0.326380673452818,0.693347440647773,0.571297359921099,1.92292269381127,1.30552269381127
18,"cluster_a50","cluster",0.5,0.2,0.522277816078654,0.367927816078654,0.722687910566279,0.606570536770996,13.0569454019664,9.19819540196636
18,"cluster_a50","cluster",0.5,0.5,0.522277816078654,0.367927816078654,0.722687910566279,0.606570536770996,2.08911126431462,1.47171126431462
18,"cluster_a90","cluster",0.9,0.2,0.55246722978007,0.39811722978007,0.743281393403649,0.630965315829698,13.8116807445017,9.95293074450174
18,"cluster_a90","cluster",0.9,0.5,0.55246722978007,0.39811722978007,0.743281393403649,0.630965315829698,2.20986891912028,1.59246891912028
19,"coordinate_a50","coordinate",0.5,0.2,0.489740801172717,0.335390801172717,0.699814833490058,0.579129347531894,12.2435200293179,8.38477002931792
